Date,Time,Name,Buy/Sell,Order,Exchange,Segment,Quantity/Lot,Trade Price,Trade Value,Status
2024-10-07,09:26:25,Kalyan Jewellers,SELL,DELIVERY,NSE,Equity,31,702.26,21770.05,Traded
2024-09-13,11:47:01,Alembic,SELL,DELIVERY,NSE,Equity,64,152.72,9774.08,Traded
2024-09-06,14:37:09,Bhansali Engineering Polymers,SELL,DELIVERY,NSE,Equity,170,162.85,27684.50,Traded
2024-09-04,10:10:17,Marathon NextGen Realty,SELL,DELIVERY,NSE,Equity,35,581.01,20335.20,Traded
2024-09-04,09:26:25,Marathon NextGen Realty,BUY,DELIVERY,NSE,Equity,35,598.00,20930.00,Traded
2024-09-02,13:40:26,Bhansali Engineering Polymers,BUY,DELIVERY,NSE,Equity,170,170.00,28900.00,Traded
2024-09-02,13:12:28,Indus Towers,SELL,DELIVERY,NSE,Equity,81,435.15,35247.15,Traded
2024-09-02,09:24:38,Alembic,BUY,DELIVERY,NSE,Equity,64,158.92,10170.88,Traded
2024-09-02,09:18:23,Kalyan Jewellers,BUY,DELIVERY,NSE,Equity,31,628.55,19485.05,Traded
2024-08-30,09:53:23,IFCI,SELL,DELIVERY,NSE,Equity,399,75.90,30284.10,Traded
2024-08-29,10:38:48,IFCI,BUY,DELIVERY,NSE,Equity,399,78.00,31122.00,Traded
2024-08-28,09:29:48,EMS,SELL,DELIVERY,NSE,Equity,27,875.79,23646.45,Traded
2024-08-28,09:24:18,EMS,BUY,DELIVERY,NSE,Equity,27,875.05,23626.35,Traded
2024-08-28,09:21:29,Indus Towers,BUY,DELIVERY,NSE,Equity,81,444.35,35992.35,Traded
2024-08-27,15:20:27,Allied Blenders & Distillers,SELL,INTRADAY,NSE,Equity,28,347.55,9731.40,Traded
2024-08-27,15:20:27,PTC India Financial Services,SELL,INTRADAY,NSE,Equity,361,59.44,21457.84,Traded
2024-08-27,10:24:33,KPIT Technologies,SELL,INTRADAY,NSE,Equity,12,1843.05,22116.60,Traded
2024-08-27,10:19:47,Allied Blenders & Distillers,BUY,INTRADAY,NSE,Equity,28,347.80,9738.40,Traded
2024-08-27,09:38:06,PTC India Financial Services,BUY,INTRADAY,NSE,Equity,361,60.02,21667.22,Traded
2024-08-27,09:37:44,Allied Digital Services,SELL,INTRADAY,NSE,Equity,361,245.17,88505.50,Traded
2024-08-27,09:37:30,Allied Digital Services,BUY,INTRADAY,NSE,Equity,361,244.79,88370.63,Traded
2024-08-27,09:18:47,KPIT Technologies,BUY,INTRADAY,NSE,Equity,12,1901.00,22812.00,Traded
2024-08-23,13:06:11,IREDA,SELL,INTRADAY,NSE,Equity,83,257.45,21368.35,Traded
2024-08-23,09:17:45,IREDA,BUY,INTRADAY,NSE,Equity,83,263.50,21870.50,Traded